trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.75, 'e': 4.0}",20,0,-120.29224793608653,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.75, 'e': 4.0}",25,0,-181.96885837077818,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
53,False,"{'a': 0.75, 'e': 4.0}",25,0,-179.95305192793975,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
54,False,"{'a': 0.75, 'e': 4.0}",25,0,-48.410029919819166,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.75, 'e': 4.0}",30,0,-203.91419016165798,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
56,False,"{'a': 0.75, 'e': 4.0}",25,0,-106.53487496586182,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.75, 'e': 4.0}",30,0,-185.55438531442664,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
58,False,"{'a': 0.75, 'e': 4.0}",30,0,-97.14680106389567,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.75, 'e': 4.0}",30,0,-199.01094878029815,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
60,False,"{'a': 0.75, 'e': 4.0}",20,0,-93.47481644223315,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.75, 'e': 4.0}",30,0,-200.78338569083346,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
62,False,"{'a': 0.75, 'e': 4.0}",25,0,-164.90393711308252,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.75, 'e': 4.0}",20,0,-57.561363927741304,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.75, 'e': 4.0}",20,0,-134.50026030747637,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.75, 'e': 4.0}",25,0,-135.07697038696386,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
66,False,"{'a': 0.75, 'e': 4.0}",25,0,-116.65026429808366,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
67,False,"{'a': 0.75, 'e': 4.0}",20,0,-153.52605498433948,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
68,False,"{'a': 0.75, 'e': 4.0}",20,0,-57.22720938652799,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.75, 'e': 4.0}",20,0,-105.1744140912235,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
70,False,"{'a': 0.75, 'e': 4.0}",25,0,-76.97459270543862,"{0: 12, 1: 8, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.75, 'e': 4.0}",25,0,-178.4597054566474,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
72,False,"{'a': 0.75, 'e': 4.0}",20,0,-166.5004124210055,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.75, 'e': 4.0}",25,0,-115.11029111785916,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.75, 'e': 4.0}",20,0,-117.39348434444852,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.75, 'e': 4.0}",20,0,-142.10261153652652,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
76,False,"{'a': 0.75, 'e': 4.0}",20,0,-56.75763936267464,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
77,False,"{'a': 0.75, 'e': 4.0}",25,11,-49.46529901663715,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.75, 'e': 4.0}",20,0,-168.92934594931546,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
79,False,"{'a': 0.75, 'e': 4.0}",20,7,-90.4155556644595,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
80,False,"{'a': 0.75, 'e': 4.0}",20,0,-128.79648222688598,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
81,False,"{'a': 0.75, 'e': 4.0}",30,0,-86.53306209711128,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
82,False,"{'a': 0.75, 'e': 4.0}",25,0,-129.97202561803527,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
83,False,"{'a': 0.75, 'e': 4.0}",25,0,-22.189930413913338,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.75, 'e': 4.0}",20,0,-206.8223269413307,"{0: 4, 1: 5, 2: 8, 3: 1, 4: 2}",0
85,False,"{'a': 0.75, 'e': 4.0}",25,0,-141.99949526748384,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
86,False,"{'a': 0.75, 'e': 4.0}",20,0,-180.2607642991242,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
87,False,"{'a': 0.75, 'e': 4.0}",20,0,-121.40699993877192,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.75, 'e': 4.0}",25,0,-85.42962058859753,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.75, 'e': 4.0}",20,0,-128.48997624839535,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
90,False,"{'a': 0.75, 'e': 4.0}",25,2,-114.04416467007063,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 2}",1
91,False,"{'a': 0.75, 'e': 4.0}",20,0,-177.5041069631496,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
92,False,"{'a': 0.75, 'e': 4.0}",20,0,-101.62152271554679,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.75, 'e': 4.0}",20,0,-167.13163115778076,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
94,False,"{'a': 0.75, 'e': 4.0}",25,0,-161.46162294207735,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
95,False,"{'a': 0.75, 'e': 4.0}",35,0,-118.88592863918343,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
96,False,"{'a': 0.75, 'e': 4.0}",30,0,-83.48351301042322,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
97,False,"{'a': 0.75, 'e': 4.0}",20,0,-120.74243547574335,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
98,False,"{'a': 0.75, 'e': 4.0}",30,0,-115.85046575540444,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
99,False,"{'a': 0.75, 'e': 4.0}",25,0,-180.0411384670195,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
100,False,"{'a': 0.75, 'e': 4.0}",25,0,-70.9503093334207,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
101,False,"{'a': 0.75, 'e': 4.0}",25,0,-165.55437592810352,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
102,False,"{'a': 0.75, 'e': 4.0}",25,0,-192.03854928649358,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
103,False,"{'a': 0.75, 'e': 4.0}",20,0,-164.7323691084594,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
104,False,"{'a': 0.75, 'e': 4.0}",20,0,-109.97277443568818,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.75, 'e': 4.0}",30,0,-99.72471645506394,"{0: 19, 1: 5, 2: 3, 3: 3, 4: 0}",0
106,False,"{'a': 0.75, 'e': 4.0}",20,0,-154.22852724371802,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
107,False,"{'a': 0.75, 'e': 4.0}",25,0,-59.088687209148596,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
108,False,"{'a': 0.75, 'e': 4.0}",30,0,-97.64751203049357,"{0: 17, 1: 8, 2: 3, 3: 2, 4: 0}",0
109,False,"{'a': 0.75, 'e': 4.0}",25,0,-126.65001458536932,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
110,False,"{'a': 0.75, 'e': 4.0}",20,0,-140.3942332359806,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
111,False,"{'a': 0.75, 'e': 4.0}",20,11,-9.314266295638811,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.75, 'e': 4.0}",20,0,-85.76930785508696,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
113,False,"{'a': 0.75, 'e': 4.0}",30,0,-148.02123493940366,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
114,False,"{'a': 0.75, 'e': 4.0}",25,0,-137.7008274507391,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
115,False,"{'a': 0.75, 'e': 4.0}",20,0,-128.73645687186584,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.75, 'e': 4.0}",30,0,-294.00560659275544,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
117,False,"{'a': 0.75, 'e': 4.0}",30,0,-194.60953385991616,"{0: 14, 1: 2, 2: 10, 3: 3, 4: 1}",0
